index,canonical_smiles
A01_E09_RT_BC_161_Lig_BC_284-0-0,CC(NC(=O)c1ccccc1/N=C/c1c(O)ccc2ccccc12)c1ccccc1
A01_E09_RT_BC_162_Lig_BC_102-0-0,O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1
A01_E09_RT_BC_162_Lig_BC_13-0-0,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCN(C(C)C)CC3)nc2)cc2c1cnn2C(C)C
A01_E09_RT_BC_162_Lig_BC_197-0-0,COc1cc2c(NC3CCN(CC4CCCCC4)CC3)nc(N3CCCN(C(C)C)CC3)nc2cc1OCCCN1CCCCC1
A01_E09_RT_BC_162_Lig_BC_226-0-0,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1
A01_E09_RT_BC_162_Lig_BC_87-0-0,O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1
A01_E09_RT_BC_163_Lig_BC_381-0-0,CCCC(CCC)C(=O)[O-].[Na+]
A01_E09_RT_BC_164_Lig_BC_207-0-0,Cc1c(NC(=O)OCC2COCCN2)cn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12
A01_E09_RT_BC_164_Lig_BC_282-0-0,CS(=O)(=O)O.Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21
A01_E09_RT_BC_167_Lig_BC_196-0-0,CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1
A01_E09_RT_BC_167_Lig_BC_295-0-0,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1
A01_E09_RT_BC_169_Lig_BC_303-0-0,Cc1noc(-c2ccc(CSCCC(=O)O)cc2)c1NC(=O)OC(C)c1ccccc1Cl
A01_E09_RT_BC_16_Lig_BC_374-0-0,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
A01_E09_RT_BC_170_Lig_BC_90-0-0,CC1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)[nH]n2)c2cccn2n1
A01_E09_RT_BC_171_Lig_BC_214-0-0,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12
A01_E09_RT_BC_171_Lig_BC_307-0-0,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1
A01_E09_RT_BC_172_Lig_BC_328-0-0,Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3cccnc3)n2)cc1
A01_E09_RT_BC_173_Lig_BC_242-0-0,CCCCc1nc2cc(/C=C/C(=O)NO)ccc2n1CCN(CC)CC
A01_E09_RT_BC_173_Lig_BC_321-0-0,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1
A01_E09_RT_BC_174_Lig_BC_185-0-0,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(Cc4ccccc4-c4ccc(Cl)cc4)CC3)cc2)cc1[N+](=O)[O-]
A01_E09_RT_BC_174_Lig_BC_291-0-0,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21.O=P(O)(O)O.O=P(O)(O)O
A01_E09_RT_BC_176_Lig_BC_173-0-0,CNC(=NC#N)NCCSCc1nc[nH]c1C
A01_E09_RT_BC_176_Lig_BC_293-0-0,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2
A01_E09_RT_BC_176_Lig_BC_349-0-0,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12
A01_E09_RT_BC_177_Lig_BC_116-0-0,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1
A01_E09_RT_BC_177_Lig_BC_64-0-0,S=c1nc[nH]c2nc[nH]c12
A01_E09_RT_BC_177_Lig_BC_78-0-0,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
A01_E09_RT_BC_178_Lig_BC_23-0-0,Cc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1
A01_E09_RT_BC_179_Lig_BC_262-0-0,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC
A01_E09_RT_BC_180_Lig_BC_324-0-0,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
A01_E09_RT_BC_183_Lig_BC_196-0-0,CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1
A01_E09_RT_BC_186_Lig_BC_41-0-0,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1
A01_E09_RT_BC_187_Lig_BC_287-0-0,O=NN(CCCl)C(=O)NC1CCCCC1
A01_E09_RT_BC_188_Lig_BC_291-0-0,N#C/C(=C(/N)Sc1ccc(N)cc1)c1ccccc1C(F)(F)F
A01_E09_RT_BC_18_Lig_BC_376-0-0,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1.O=P(O)(O)O
A01_E09_RT_BC_190_Lig_BC_231-0-0,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1N
A01_E09_RT_BC_194_Lig_BC_128-0-0,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1
A01_E09_RT_BC_196_Lig_BC_224-0-0,Cc1cn([C@H]2O[C@@H](CO)[C@H](O)[C@H]2F)c(=O)[nH]c1=O
A01_E09_RT_BC_197_Lig_BC_113-0-0,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1
A01_E09_RT_BC_197_Lig_BC_120-0-0,COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1
A01_E09_RT_BC_198_Lig_BC_54-0-0,N#Cc1ccnc(N2C(=O)CCC2C(=O)N(c2cncc(F)c2)C(C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1
A01_E09_RT_BC_198_Lig_BC_69-0-0,COc1cccc(-c2cc(=O)c3ccccc3o2)c1N
A01_E09_RT_BC_199_Lig_BC_256-0-0,Cc1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccnc(N)n4)cc3)c3ccccc23)c1
A01_E09_RT_BC_201_Lig_BC_255-0-0,CS(=O)(=O)OCCCCOS(C)(=O)=O
A01_E09_RT_BC_201_Lig_BC_52-0-0,Cl.N=c1ccn2c(n1)OC1C(O)C(CO)OC12
A01_E09_RT_BC_206_Lig_BC_205-0-0,CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1
A01_E09_RT_BC_208_Lig_BC_242-0-0,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(F)c3)c2cc1OC
A01_E09_RT_BC_209_Lig_BC_36-0-0,CS(=O)(=O)c1ccc(-c2cnc(NCc3ccco3)n3cnnc23)cc1
A01_E09_RT_BC_210_Lig_BC_142-0-0,COc1cc(OC)c(/C=C/S(=O)(=O)Cc2ccc(OC)c(NCC(=O)[O-])c2)c(OC)c1.[Na+]
A01_E09_RT_BC_211_Lig_BC_87-0-0,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O[C@@H]2CCCCO2)[C@H](C)O1
A01_E09_RT_BC_218_Lig_BC_175-0-0,O=c1ccc2ccc(O)c(O)c2o1
A01_E09_RT_BC_21_Lig_BC_249-0-0,CC12CCC3c4ccc(O)cc4CC(CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)C3C1CCC2O
A01_E09_RT_BC_224_Lig_BC_223-0-0,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)n[nH]3)ncnc2c1
A01_E09_RT_BC_228_Lig_BC_49-0-0,COc1ccc(-c2nc(N3CCOCC3)c3sc(CN(C)c4ncc(C(=O)NO)cn4)cc3n2)cn1
A01_E09_RT_BC_229_Lig_BC_143-0-0,Cl.O=C(Nc1ccccc1-c1cn2c(CN3CCNCC3)csc2n1)c1cnc2ccccc2n1
A01_E09_RT_BC_230_Lig_BC_87-0-0,CC(c1cc2ccccc2s1)N(O)C(N)=O
A01_E09_RT_BC_235_Lig_BC_250-0-0,COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C)C(=O)N2
A01_E09_RT_BC_236_Lig_BC_2-0-0,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
A01_E09_RT_BC_236_Lig_BC_233-0-0,CN(C)Cc1ccc(-c2nc3cccc4c3n2CCNC4=O)cc1
A01_E09_RT_BC_237_Lig_BC_319-0-0,CCS(=O)(=O)c1cccc(-c2cc(C(=O)NC3CCN(C)CC3)c(C)c3[nH]c4ncc(C)cc4c23)c1
A01_E09_RT_BC_239_Lig_BC_275-0-0,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO
A01_E09_RT_BC_243_Lig_BC_170-0-0,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F
A01_E09_RT_BC_245_Lig_BC_211-0-0,CCN(CC)C(=S)SSC(=S)N(CC)CC
A01_E09_RT_BC_250_Lig_BC_139-0-0,CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1
A01_E09_RT_BC_251_Lig_BC_232-0-0,CC(C)(CNC(=O)c1cccc(-c2noc(C(F)(F)F)n2)c1)c1coc(-c2ccccc2)n1
A01_E09_RT_BC_25_Lig_BC_236-0-0,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C
A01_E09_RT_BC_262_Lig_BC_188-0-0,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cc3)c(C#N)cc2F)n[nH]1
A01_E09_RT_BC_263_Lig_BC_265-0-0,CCCCCCCCCCCCCCCc1cccc(O)c1C(=O)O
A01_E09_RT_BC_264_Lig_BC_45-0-0,CN1CCc2c(c3ccccc3n2Cc2ccc(C(=O)NO)cc2)C1.Cl
A01_E09_RT_BC_268_Lig_BC_50-0-0,CC(=O)Nc1ccc(OCC(C)(O)C(=O)Nc2ccc([N+](=O)[O-])c(C(F)(F)F)c2)cc1
A01_E09_RT_BC_269_Lig_BC_354-0-0,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3C(=O)CC2(C)C1(O)C(=O)CO
A01_E09_RT_BC_275_Lig_BC_86-0-0,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1
A01_E09_RT_BC_27_Lig_BC_160-0-0,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1
A01_E09_RT_BC_288_Lig_BC_338-0-0,CN1CCC(CNc2ccc3ncc(-c4cccc(OC(F)(F)F)c4)n3n2)CC1
A01_E09_RT_BC_297_Lig_BC_352-0-0,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1
A01_E09_RT_BC_301_Lig_BC_244-0-0,C=C1C(=O)OC2/C=C(\C)CC/C=C(\C)CCC12
A01_E09_RT_BC_318_Lig_BC_209-0-0,Cc1nc(-c2cccnc2)sc1C(=O)Nc1ccccc1-c1cn2c(CN3CCOCC3)csc2n1
A01_E09_RT_BC_340_Lig_BC_218-0-0,C=CCNC1=C2CC(C)CC(OC)C(O)C(C)/C=C(\C)C(OC(N)=O)C(OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O
A01_E09_RT_BC_343_Lig_BC_350-0-0,O=C(O)CCC1CCC(c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1
A01_E09_RT_BC_350_Lig_BC_172-0-0,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O
A01_E09_RT_BC_365_Lig_BC_106-0-0,CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1.Cl
A01_E09_RT_BC_369_Lig_BC_294-0-0,O=C(Nc1cccnc1)N1CCC(Cc2cccc(Oc3ccc(C(F)(F)F)cn3)c2)CC1
A01_E09_RT_BC_372_Lig_BC_152-0-0,O=C(c1ccc(Cl)cc1Cl)n1nnc2ccccc21
A01_E09_RT_BC_380_Lig_BC_355-0-0,NCCCC(O)(P(=O)(O)O)P(=O)(O)[O][Na].O.O.O
A01_E09_RT_BC_381_Lig_BC_173-0-0,CCN(CC)Cc1ccc2cc(COC(=O)Nc3ccc(C(=O)NO)cc3)ccc2c1.Cl.O
A01_E09_RT_BC_3_Lig_BC_370-0-0,NC(=O)c1ccc(-c2nc(-c3ccc4c(c3)OCO4)c(-c3ccccn3)[nH]2)cc1
A01_E09_RT_BC_49_Lig_BC_275-0-0,COCCn1c2c([n+](Cc3cnccn3)c1C)C(=O)c1ccccc1C2=O.[Br-]
A01_E09_RT_BC_4_Lig_BC_240-0-0,CCC(=O)NCCC1CCc2ccc3c(c21)CCO3
A01_E09_RT_BC_82_Lig_BC_297-0-0,NC(=O)c1ccc(I)c([N+](=O)[O-])c1
A01_F10_RT_BC_148_Lig_BC_199-0-0,Nc1ccc(F)cc1NC(=O)c1ccc(CNC(=O)/C=C/c2cccnc2)cc1
A01_F10_RT_BC_179_Lig_BC_369-0-0,COc1ccc(Cn2ccc3ccc(C(=O)NO)cc32)cc1
A01_F10_RT_BC_17_Lig_BC_66-0-0,C/C(=C\c1csc(C)n1)C1CC2OC2CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)O1
A01_F10_RT_BC_267_Lig_BC_143-0-0,S=P(N1CC1)(N1CC1)N1CC1
A02_E09_RT_BC_148_Lig_BC_180-0-0,CCc1cccc(CC)c1NC(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1
